Entity,Year,Country code,CO2 annual emissions by nation-CDIAC
China,1751,CHN,0
China,1752,CHN,0
China,1753,CHN,0
China,1754,CHN,0
China,1755,CHN,0
China,1756,CHN,0
China,1757,CHN,0
China,1758,CHN,0
China,1759,CHN,0
China,1760,CHN,0
China,1761,CHN,0
China,1762,CHN,0
China,1763,CHN,0
China,1764,CHN,0
China,1765,CHN,0
China,1766,CHN,0
China,1767,CHN,0
China,1768,CHN,0
China,1769,CHN,0
China,1770,CHN,0
China,1771,CHN,0
China,1772,CHN,0
China,1773,CHN,0
China,1774,CHN,0
China,1775,CHN,0
China,1776,CHN,0
China,1777,CHN,0
China,1778,CHN,0
China,1779,CHN,0
China,1780,CHN,0
China,1781,CHN,0
China,1782,CHN,0
China,1783,CHN,0
China,1784,CHN,0
China,1785,CHN,0
China,1786,CHN,0
China,1787,CHN,0
China,1788,CHN,0
China,1789,CHN,0
China,1790,CHN,0
China,1791,CHN,0
China,1792,CHN,0
China,1793,CHN,0
China,1794,CHN,0
China,1795,CHN,0
China,1796,CHN,0
China,1797,CHN,0
China,1798,CHN,0
China,1799,CHN,0
China,1800,CHN,0
China,1801,CHN,0
China,1802,CHN,0
China,1803,CHN,0
China,1804,CHN,0
China,1805,CHN,0
China,1806,CHN,0
China,1807,CHN,0
China,1808,CHN,0
China,1809,CHN,0
China,1810,CHN,0
China,1811,CHN,0
China,1812,CHN,0
China,1813,CHN,0
China,1814,CHN,0
China,1815,CHN,0
China,1816,CHN,0
China,1817,CHN,0
China,1818,CHN,0
China,1819,CHN,0
China,1820,CHN,0
China,1821,CHN,0
China,1822,CHN,0
China,1823,CHN,0
China,1824,CHN,0
China,1825,CHN,0
China,1826,CHN,0
China,1827,CHN,0
China,1828,CHN,0
China,1829,CHN,0
China,1830,CHN,0
China,1831,CHN,0
China,1832,CHN,0
China,1833,CHN,0
China,1834,CHN,0
China,1835,CHN,0
China,1836,CHN,0
China,1837,CHN,0
China,1838,CHN,0
China,1839,CHN,0
China,1840,CHN,0
China,1841,CHN,0
China,1842,CHN,0
China,1843,CHN,0
China,1844,CHN,0
China,1845,CHN,0
China,1846,CHN,0
China,1847,CHN,0
China,1848,CHN,0
China,1849,CHN,0
China,1850,CHN,0
China,1851,CHN,0
China,1852,CHN,0
China,1853,CHN,0
China,1854,CHN,0
China,1855,CHN,0
China,1856,CHN,0
China,1857,CHN,0
China,1858,CHN,0
China,1859,CHN,0
China,1860,CHN,0
China,1861,CHN,0
China,1862,CHN,0
China,1863,CHN,0
China,1864,CHN,0
China,1865,CHN,0
China,1866,CHN,0
China,1867,CHN,0
China,1868,CHN,0
China,1869,CHN,0
China,1870,CHN,0
China,1871,CHN,0
China,1872,CHN,0
China,1873,CHN,0
China,1874,CHN,0
China,1875,CHN,0
China,1876,CHN,0
China,1877,CHN,0
China,1878,CHN,0
China,1879,CHN,0
China,1880,CHN,0
China,1881,CHN,0
China,1882,CHN,0
China,1883,CHN,0
China,1884,CHN,0
China,1885,CHN,0
China,1886,CHN,0
China,1887,CHN,0
China,1888,CHN,0
China,1889,CHN,0
China,1890,CHN,0
China,1891,CHN,0
China,1892,CHN,0
China,1893,CHN,0
China,1894,CHN,0
China,1895,CHN,0
China,1896,CHN,0
China,1897,CHN,0
China,1898,CHN,0
China,1899,CHN,0.09542
China,1900,CHN,0
China,1901,CHN,0
China,1902,CHN,0.09542
China,1903,CHN,1.96712
China,1904,CHN,2.0919
China,1905,CHN,2.30109
China,1906,CHN,17.1389
China,1907,CHN,16.86732
China,1908,CHN,22.76868
China,1909,CHN,20.87129
China,1910,CHN,18.77939
China,1911,CHN,27.892
China,1912,CHN,9.80257
China,1913,CHN,10.77512
China,1914,CHN,15.13141
China,1915,CHN,16.11497
China,1916,CHN,17.99401
China,1917,CHN,19.88406
China,1918,CHN,21.07681
China,1919,CHN,24.2954
China,1920,CHN,26.81302
China,1921,CHN,25.33034
China,1922,CHN,26.67723
China,1923,CHN,32.20425
China,1924,CHN,35.15126
China,1925,CHN,33.27589
China,1926,CHN,29.63892
