Site,Date,Value
Beijing,2008/10/1,168.0
Beijing,2008/10/10,23.0
Beijing,2008/10/11,33.5
Beijing,2008/10/12,59.0416666667
Beijing,2008/10/13,165.458333333
Beijing,2008/10/14,140.304347826
Beijing,2008/10/15,59.5416666667
Beijing,2008/10/16,60.2916666667
Beijing,2008/10/17,235.375
Beijing,2008/10/18,137.958333333
Beijing,2008/10/19,113.0
Beijing,2008/10/2,213.041666667
Beijing,2008/10/20,180.875
Beijing,2008/10/21,159.125
Beijing,2008/10/22,127.125
Beijing,2008/10/23,5.83333333333
Beijing,2008/10/24,21.375
Beijing,2008/10/25,26.5
Beijing,2008/10/26,10.3333333333
Beijing,2008/10/27,29.125
Beijing,2008/10/28,88.9565217391
Beijing,2008/10/29,39.7083333333
Beijing,2008/10/3,91.0833333333
Beijing,2008/10/30,86.5416666667
Beijing,2008/10/31,44.3333333333
Beijing,2008/10/4,51.9583333333
Beijing,2008/10/5,21.5
Beijing,2008/10/6,26.25
Beijing,2008/10/7,83.125
Beijing,2008/10/8,49.3333333333
Beijing,2008/10/9,62.6666666667
Beijing,2008/11/1,63.2083333333
Beijing,2008/11/2,31.125
Beijing,2008/11/3,21.4166666667
Beijing,2008/11/4,116.0
Beijing,2008/11/5,155.0
Beijing,2008/11/6,36.8571428571
Beijing,2008/4/10,87.5416666667
Beijing,2008/4/11,71.5
Beijing,2008/4/12,65.8333333333
Beijing,2008/4/13,66.0416666667
Beijing,2008/4/14,113.708333333
Beijing,2008/4/15,180.625
Beijing,2008/4/16,199.25
Beijing,2008/4/17,179.125
Beijing,2008/4/18,165.291666667
Beijing,2008/4/19,145.083333333
Beijing,2008/4/20,57.7083333333
Beijing,2008/4/21,27.2083333333
Beijing,2008/4/22,30.875
Beijing,2008/4/23,34.3333333333
Beijing,2008/4/24,75.9583333333
Beijing,2008/4/25,62.4166666667
Beijing,2008/4/26,81.9583333333
Beijing,2008/4/27,62.5416666667
Beijing,2008/4/28,155.416666667
Beijing,2008/4/29,215.583333333
Beijing,2008/4/30,111.583333333
Beijing,2008/4/8,144.555555556
Beijing,2008/4/9,80.9166666667
Beijing,2008/5/1,158.791666667
Beijing,2008/5/10,32.0
Beijing,2008/5/11,18.4583333333
Beijing,2008/5/12,21.5
Beijing,2008/5/13,49.375
Beijing,2008/5/14,115.727272727
Beijing,2008/5/15,102.833333333
Beijing,2008/5/16,158.458333333
Beijing,2008/5/17,142.541666667
